Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count,Is Open Access,Open Access License,Open Access Colour
001-432-796-152-929,Generation: 25 Years of Contemporary Art in Scotland: Reader and Guide,,2014,,,,,,Graham Fagen,,,,,,Art; Visual arts; Contemporary art,,,,,https://discovery.dundee.ac.uk/en/publications/generation-25-years-of-contemporary-art-in-scotland-reader-and-gu,https://discovery.dundee.ac.uk/en/publications/generation-25-years-of-contemporary-art-in-scotland-reader-and-gu,,,2981348068,,0,,0,false,,
001-752-119-686-053,Art Pedagogy : Contemporary Visual Art studies,2020-06-30,2020,journal article,InSEA ART Education VISUAL Journal  IMAG #9,,International Society For Education Through Art- InSEA,,Hans Örtegren; Anna Jonsson Widén,This article describes a collaboration between a university and an art museum. The Contemporary Art Museum in Umea in northern Sweden is one of Sweden’s largest art galleries for contemporary art. ...,,9,133,144,Art; Visual arts; Contemporary art,,,,,http://www.diva-portal.org/smash/record.jsf?pid=diva2:1459316 http://umu.diva-portal.org/smash/record.jsf?pid=diva2:1459316,http://dx.doi.org/10.24981/2414-3332-7.2020-15,,10.24981/2414-3332-7.2020-15,3090009255,,0,001-388-912-903-713; 156-400-742-352-567,1,true,,green
001-760-714-586-524,The Contemporary Art Market,2024-09-25,2024,book chapter,Money and Marketing in the Art World,,Routledge,,Henrik Hagtvedt,,,,39,61,Business; Art,,,,,,http://dx.doi.org/10.4324/9781003531340-3,,10.4324/9781003531340-3,,,0,,0,false,,
002-011-201-270-880,30 Years of Conserving the Asia Pacific Triennial of Contemporary Art,2023-07-03,2023,journal article,AICCM Bulletin,10344233; 22044183,Informa UK Limited,,Anne Carter; Samantha Shellard,"This paper is the result of a collaborative effort that investigates the practice of contemporary art conservation at the Queensland Art Gallery | Gallery of Modern Art (QAGOMA) Brisbane. Our research has been shaped by our active participation in the Asia Pacific Triennial of Contemporary Art (APT) over the past three decades. Through interviews with QAGOMA conservators and gallery colleagues, we have identified the influences of the APT on our workflows. These influences have led to the emergence of areas of challenge, such as the logistics of artwork shipping, integrated pest management, collaboration with artists, preparation of artworks for display, considerations of scale, complexities of conserving contemporary art, and the evolution of documentation systems. The lessons learned from these challenges, as illustrated through case studies, provide valuable reference to other practitioners caring for contemporary artworks.",44,1-2,19,34,Contemporary art; Documentation; Visual arts; Art gallery; Art; Art history; Computer science; Performance art; Exhibition; Programming language,,,,,,http://dx.doi.org/10.1080/10344233.2024.2390220,,10.1080/10344233.2024.2390220,,,0,001-318-401-111-534; 003-716-053-980-35X; 016-926-487-136-890; 026-816-759-487-455; 029-707-863-923-989; 031-007-348-812-680; 057-018-606-764-210; 057-974-613-048-538; 078-128-826-064-91X; 083-208-501-095-233; 135-178-672-084-993,0,false,,
002-031-749-508-418,Arrest and Movement: An Essay on Space and Time in the Representational Art of the Ancient near East,,1953,journal article,College Art Journal,15436322; 23255412,JSTOR,,J. P. Hodin; H. A. Groenewegen-Frankfort,"""H. A. Groenewegen-Frankfort, Arrest and Movement: An Essay on Space and Time in the Representational Art of the Ancient near East."" College Art Journal, 13(1), pp. 57–58",13,1,57,57,Movement (music); Space (punctuation); Aesthetics; Visual arts; History; Art; Ancient history; Literature; Philosophy; Linguistics,,,,,,http://dx.doi.org/10.2307/772403,,10.2307/772403,,,0,,0,true,cc0,green
002-463-971-585-149,Uganda Contemporary Art: A Reflection of Cultural Transformation and Global Engagement,2023-09-26,2023,journal article,Zenodo (CERN European Organization for Nuclear Research),,,,Monica Baliawo Nkanze,"This paper examines the evolution of<br> Uganda's contemporary art and Design as a reflection of<br> cultural transformation and global engagement. It<br> investigates the historical context, socio-cultural<br> dynamics, and artistic practices that have shaped<br> Uganda's contemporary art scene. Through an<br> exploration of prominent Ugandan artists and their<br> engagement with global artistic trends, the paper<br> demonstrates how Uganda's art has transformed,<br> adapted, and contributed to the discourse of<br> contemporary art on the international stage. Basing on<br> the development trends in the Uganda art industry, the<br> paper further advances into the role of cultural<br> transformation in shaping artistic expression,<br> emphasizing the influence of Ugandan cultural identity<br> and the intersection of religion and socio-political<br> changes. It also highlights the agency of artists in driving<br> change and innovation and explores the contributions of<br> pioneer artists, contemporary art collectives, and art<br> institutions in nurturing artistic development.<br> Furthermore, the paper underscores the significance of<br> Uganda's contemporary art in promoting cultural<br> diversity, challenging traditional norms and fostering<br> global dialogue. Lastly, the challenges faced by artists,<br> such as artistic freedom, accessibility, funding, and the<br> preservation of art are also discussed in this paper.",,,,,Transformation (genetics); Reflection (computer programming); Sociology; Aesthetics; Political science; Art; Computer science; Biology; Biochemistry; Programming language; Gene,Contemporary Art; Uganda; Design; Cultural Transformation; Global Engagement,,,,https://zenodo.org/record/8378845,http://dx.doi.org/10.5281/zenodo.8378845,,10.5281/zenodo.8378845,,,0,,0,true,cc-by,green
002-629-811-135-576,In Support of Contemporary Art,,1985,journal article,African Arts,00019933; 19372108,JSTOR,United States,Merrick Posnansky,,19,1,8,,Studio art; Art; Visual arts; Anthropology of art; Art methodology; Contemporary art,,,,,http://www.jstor.org/stable/3336376?origin=crossref http://www.mitpressjournals.org/doi/abs/10.2307/3336376,http://dx.doi.org/10.2307/3336376,,10.2307/3336376,2051954026,,0,,0,false,,
002-705-781-478-835,Contemporary Canadian art,,1983,book,,,,,David G. Burnett; Marilyn Schiff,"Burnett and Schiff provide an in-depth history of Canadian art from the 1940s through the 1980s. Disciplines of painting, sculpture, Conceptual Art and installation are examined in relation to political, social, economic and cultural changes in Canada. Particular attention is given to the regions of Toronto and Montreal. 323 bibl. ref.",,,,,Painting; Relation (history of concept); Media studies; Art history; Sculpture; Contemporary art; Politics; History,,,,,https://www.amazon.com/Contemporary-Canadian-art-David-Burnett/dp/0888302428 https://e-artexte.ca/11151/ https://ci.nii.ac.jp/ncid/BA20347241 https://openlibrary.org/books/OL2896707M/Contemporary_Canadian_art,https://www.amazon.com/Contemporary-Canadian-art-David-Burnett/dp/0888302428,,,67731733,,0,,4,false,,
002-854-154-242-857,Deleuze and Contemporary Art - Deleuze and Guattari and Contemporary Art,2010-06-16,2010,book chapter,Deleuze and Contemporary Art,,Edinburgh University Press,,Stephen Zepke; Simon D. O'Sullivan,,,,1,10,Aesthetics; Art; Deleuze and Guattari; Contemporary art,,,,,,http://dx.doi.org/10.3366/edinburgh/9780748638376.003.0001,,10.3366/edinburgh/9780748638376.003.0001,2490383906,,0,,1,false,,
002-858-709-664-85X,World Picturing in Contemporary Art: The Iconogeographic Turn,,2006,journal article,Australian and New Zealand Journal of Art,14434318; 22031871,Informa UK Limited,,Terry K. Smith; Andrew W. Mellon; Henry Clay Frick,"The article discusses the concept of the world picture in contemporary art by concentrating on the 'world', 'contemporary' and 'art'.",7,1,24,46,Art; Publishing; Visual arts; Project commissioning; Anthropology of art; Contemporary art,,,,,https://www.tandfonline.com/doi/abs/10.1080/14434318.2006.11432761,http://dx.doi.org/10.1080/14434318.2006.11432761,,10.1080/14434318.2006.11432761,1587332314,,0,008-958-666-333-570; 023-452-978-934-143; 029-147-439-990-59X; 074-008-029-459-204; 145-183-734-718-509; 164-018-603-185-386; 167-189-004-782-707,23,false,,
003-047-643-511-566,Report on the Making Sense Framework and Assessment of Participatory Strategies: H2020 Making Sense Report,,2017,report,,,University of Dundee,,Michelle Scott; Melanie Woods; Drew Hemment; Saskia Coulson; Alexandre Pólvora; Susana Nascimento,,,,,,Sociology; Citizen journalism; Engineering ethics,,,,,https://discovery.dundee.ac.uk/en/publications/report-on-the-making-sense-framework-and-assessment-of-participat https://discovery.dundee.ac.uk/ws/files/19297538/MAKING_SENSE_DELIVERABLE_D5.2_and_D4.3.pdf https://core.ac.uk/download/132208325.pdf,http://dx.doi.org/10.20933/100001111,,10.20933/100001111,2963630619,,0,,0,true,,green
003-137-909-949-020,Contemporary African art,,2000,book,,,,,Dele Jegede,,,,,,Art; Anthropology; African art,,,,,https://openlibrary.org/books/OL17177803M/Contemporary_African_art,https://openlibrary.org/books/OL17177803M/Contemporary_African_art,,,2798320372,,0,,0,false,,
003-594-207-832-649,The Photograph as Contemporary Art,2004-11-29,2004,book,,,,,Charlotte Cotton,"This book, now updated and expanded, is a profusely illustrated survey of the use of photography in contemporary art since the mid-1980s. It features the work of more than 170 of internationally renowned and up-and-coming artist-photographers, including Andreas Gursky, Nan Goldin, Philip-Lorca diCorcia, Richard Billingham, Jurgen Teller, Thomas Demand, Christopher Williams, Sherrie Levine, Jeff Wall, Wolfgang Tillmans, Zoe Leonard, and many more. Themed chapters consider subjects such as narrative and storytelling in art photography, photographing the everyday and the insignificant, the use of photography in conceptual art, and the cool, detached, and objective aesthetic prevalent in current art photography. A new eighth chapter examines why many artists, in the age of digital photography, make work that focuses on the physical and material properties of photography, respond to the changing means of distributing photographic images, and push the boundaries of technology to reach larger and more diverse audiences.",,,,,Photography; Art; Visual arts; Fine-art photography; Digital photography; Narrative; Storytelling; Performance art; Contemporary art,,,,,http://ci.nii.ac.jp/ncid/BB15459516 https://openlibrary.org/books/OL7653570M/The_Photograph_as_Contemporary_Art https://www.amazon.com/Photograph-Contemporary-Art-World/dp/0500204489 https://e-artexte.ca/26877/ https://www.goodreads.com/work/editions/196269-the-photograph-as-contemporary-art-world-of-art,http://ci.nii.ac.jp/ncid/BB15459516,,,1588991893,,0,,43,false,,
003-628-364-105-384,What Is Contemporary Art,2009-10-15,2009,book,,,,,Terry K. Smith,"Who gets to say what counts as contemporary art? Artists, critics, curators, gallerists, auctioneers, collectors, or the public? Revealing how all of these groups have shaped today's multifaceted definition, Terry Smith brilliantly shows that a historical approach offers the best answer to the question: What Is Contemporary Art? Smith argues that the most recognizable kind is characterized by a return to mainstream modernism in the work of such artists as Richard Serra and Gerhard Richter, as well as the retro-sensationalism of figures like Damien Hirst and Takashi Murakami. At the same time, Smith reveals, post-colonial artists are engaged in a different kind of practice: one that builds on local concerns and tackles questions of identity, history, and globalization. A younger generation embodies yet a third approach to contemporaneity by investigating time, place, mediation, and ethics through small-scale, closely connective art making. Inviting readers into these diverse yet overlapping art worlds, Smith offers a behind-the-scenes introduction to the institutions, the personalities, the biennials, and of course the works that together are defining the contemporary. The resulting map of where art is now illuminates not only where it has been but also where it is going.",,,,,Art; Mediation; Modernism; Globalization; Mainstream; Identity (social science); Art making; Art history; Contemporary art,,,,,http://ci.nii.ac.jp/ncid/BA91472695 https://www.amazon.com/What-Contemporary-Art-Terry-Smith/dp/0226764311 https://openlibrary.org/books/OL23197997M/What_is_contemporary_art,http://ci.nii.ac.jp/ncid/BA91472695,,,625951154,,0,,53,false,,
003-937-898-398-934,"The Time is Right for... Exhibition, Summerhall, Edinburgh, 2 August - 24 September 2017: KETTY LA ROCCA, MARIKKI HAKOLA , GINY VOS, ELAINE SHEMILT",2017-08-02,2017,,,,,,Laura Leuzzi; Adam Lockhart; Elaine Shemilt; Stephen Partridge,,,,,,Video art; Art; Feminist art; Exhibition; Art history,,,,,https://discovery.dundee.ac.uk/en/publications/the-time-is-right-for-exhibition-summerhall-edinburgh-2-august-24,https://discovery.dundee.ac.uk/en/publications/the-time-is-right-for-exhibition-summerhall-edinburgh-2-august-24,,,2953849019,,0,,0,false,,
004-195-957-964-825,Pragmatist Aesthetics and New Visions of the Contemporary Art Museum: The Tate Modern and the Baltic Centre for Contemporary Art,,2004,journal article,Journal of Aesthetic Education,00218510; 15437809,University of Illinois Press,United States,Angela Marsh,"Angela Marsh, Pragmatist Aesthetics and New Visions of the Contemporary Art Museum: The Tate Modern and the Baltic Centre for Contemporary Art, The Journal of Aesthetic Education, Vol. 38, No. 3 (Autumn, 2004), pp. 91-106",38,3,91,91,Vision; Pragmatism; Contemporary art; Aesthetics; Art; Modern art; Art history; Visual arts; Sociology; Anthropology; Philosophy; Performance art; Epistemology,,,,,,http://dx.doi.org/10.2307/3527445,,10.2307/3527445,,,0,,2,false,,
004-203-298-633-543,Scotland + Venice: Inverness Museum and Art Gallery,2016-11-12,2016,,,,,,Graham Fagen,,,,,,Art; Art gallery; Art history,,,,,https://discovery.dundee.ac.uk/en/publications/scotland-venice-inverness-museum-and-art-gallery,https://discovery.dundee.ac.uk/en/publications/scotland-venice-inverness-museum-and-art-gallery,,,3029974937,,0,,0,false,,
004-319-438-859-232,Guides: Contemporary Art: Themes in art,2011-01-12,2011,libguide,,,,,Library Services team City West,,,,,,Art; Visual arts; Media arts; Contemporary art,,,,,https://guides.library.unisa.edu.au/ContemporaryArt/themes,https://guides.library.unisa.edu.au/ContemporaryArt/themes,,,2996683870,,0,,0,false,,
004-630-842-571-224,The Epistemology of “Contemporary Art” Noumenon,2020-02-27,2020,journal article,Global Journal of Science Frontier Research,22494626; 09755896,Global Journals,,Cheng Yuan,"<jats:p>“Contemporary    art”    is universal,    but    in    international    commonality, Chinese contemporary  art  has  its specific  problems  that  it  faces:  this  includes  scientific  falsification  and  critique   of   artistic   conspiracy   and   deception, highlighting   the   contemporary   nature   of   contemporary  art’s  cognitive  function,  and  connecting  relationship  with  theory  and  practice,history  and  logic  between  contemporary  art  and  artistic  phenomenology,  such  as  “world  2,” “practice-spirit” and  behavior,  installation,  etc.,  thus  welcoming  the  world  identity  of  “cognitive  experience”and   “spiritual   practice.”From   the   above   three   parts,   the   article   identifies, “contemporary   art”   is   a   view   of   problem   consciousness, concept,   and   human   beings’   independent personality and dignity. On the historical approach and value orientation, she is not only  a  historical  uplift  to  the function  of  art  cognition  but  also  a  historic  approach  and  representation of the era of “cultural experience” and“civilized practice.”</jats:p>",,,1,21,Epistemology; Philosophy; Noumenon; Contemporary art,contemporary art; conspiracy theory; world 2; cognitive experience; spiritual practice; the way of grasping the world GJSFR-I Classification: FOR Code: 440102 contemporary art; conspiracy theory; world 2; cognitive experience; spiritual practice; the way of grasping the world,,,,http://dx.doi.org/10.34257/gjsfrivol20is1pg1,http://dx.doi.org/10.34257/gjsfrivol20is1pg1,,10.34257/gjsfrivol20is1pg1,3010180163,,0,,0,true,,gold
004-634-474-551-454,Museum Effects in Modern and Contemporary Art of the West,,2010,journal article,Arts Exploration,,,,Wang Haiya,"This article tries to discover the relations of west modern and contemporary arts with museum from the point of view of museum’s function evolution,pointing out that the abstract function of the museum is the basis of modern art which proposes the slogan ""art for art's sake"",and that the reification effect of the museum guarantees the art status of contemporary art which goes out of art. The museum is the border of the art,located at the artistic edge,the farthest away from center,but it ensures that the center can be the center.",,,,,Art; Visual arts; Installation art; Modern art; History of art; The arts; Anthropology of art; Fine art; Art methodology; Contemporary art,,,,,http://en.cnki.com.cn/Article_en/CJFDTOTAL-YSTS201002023.htm,http://en.cnki.com.cn/Article_en/CJFDTOTAL-YSTS201002023.htm,,,2377440073,,0,,0,false,,
